Wall time,Step,Value
1712438328,845824,473.0173035
1712438545,847872,481.4830017
1712438754,849920,487.778595
1712438948,851968,462.0881653
1712439164,854016,477.3295288
1712439408,856064,479.8897705
1712439644,858112,483.429657
1712439862,860160,497.6379089
1712440066,862208,509.4794006
1712440304,864256,514.6795654
1712440515,866304,516.3710938
1712440724,868352,511.0569763
1712440948,870400,511.1385193
1712441131,872448,467.5007019
1712441335,874496,470.5527344
1712441514,876544,433.2089233
1712441713,878592,416.0966187
1712441909,880640,437.9514465
1712442120,882688,437.9754639
1712442322,884736,460.2392578
1712442508,886784,457.2696533
1712442717,888832,467.0700073
1712442924,890880,460.2662964
1712443129,892928,474.9447327
1712443352,894976,480.2965393
1712443566,897024,498.2599792
1712443810,899072,496.1734009
1712444007,901120,498.8126526
1712444220,903168,497.6840515
1712444410,905216,486.3456726
1712444617,907264,478.3360901
1712444834,909312,486.8291931
1712445058,911360,495.0652161
1712445283,913408,501.5560303
1712445507,915456,513.7627563
1712445717,917504,530.043457
1712445926,919552,511.6903992
1712446151,921600,509.2923584
1712446355,923648,517.1511841
1712446581,925696,514.1726685
1712446794,927744,508.9864807
1712447021,929792,520.1581421
1712447251,931840,523.1257324
1712447466,933888,528.4272461
1712447675,935936,521.5838623
1712447892,937984,526.7354736
1712448100,940032,518.7006226
1712448315,942080,519.4564209
1712448527,944128,518.8901978
1712448757,946176,530.199646
1712448970,948224,529.3080444
1712449169,950272,540.1036987
1712449364,952320,532.8181763
1712449571,954368,521.1616821
1712449775,956416,514.1320801
1712449987,958464,524.3731079
1712450199,960512,531.9119263
1712450403,962560,533.8274536
1712450643,964608,533.7209473
1712450878,966656,550.821228
1712451104,968704,559.463623
1712451320,970752,564.9023438
1712451525,972800,569.2333374
1712451746,974848,576.8668213
1712451964,976896,579.008667
1712452173,978944,571.6034546
1712452383,980992,571.8202515
1712452569,983040,542.9780273
1712452778,985088,528.6765137
1712452985,987136,517.0112305
1712453191,989184,510.2782898
1712453399,991232,544.5515137
1712453599,993280,549.5977173
1712453822,995328,557.1073608
1712454032,997376,554.3232422
1712454244,999424,563.4661865
1712454458,1001472,561.8204956
1712454671,1003520,574.8387451
1712454872,1005568,576.34021
1712455076,1007616,574.7915039
1712455269,1009664,572.0352173
1712455475,1011712,568.7784424
1712455685,1013760,557.8296509
1712455902,1015808,568.8291016
1712456102,1017856,565.2086792
1712456312,1019904,567.4024658
1712456512,1021952,569.8007202
1712456711,1024000,555.8566284
1712483942,1026048,567.7910767
1712484136,1028096,565.7183838
1712484361,1030144,569.7789307
1712484574,1032192,582.3311768
1712484778,1034240,576.3405151
1712484988,1036288,571.0219727
1712485188,1038336,573.2238159
1712485392,1040384,573.8733521
1712485591,1042432,574.368042
1712485810,1044480,577.2486572
1712486006,1046528,560.901123
1712486201,1048576,548.5698853
1712486418,1050624,546.9834595
1712486629,1052672,547.2923584
1712486834,1054720,555.6512451
1712487042,1056768,560.4370117
1712487250,1058816,567.0576172
1712487451,1060864,553.2526245
1712487666,1062912,552.8457642
1712487858,1064960,557.2966309
1712488055,1067008,542.6320801
1712488255,1069056,554.4852295
1712488458,1071104,551.0087891
1712488660,1073152,557.8015747
1712488865,1075200,554.2592163
1712489089,1077248,559.6136475
1712489311,1079296,571.3894043
1712489506,1081344,566.2689819
1712489711,1083392,561.0294189
1712489917,1085440,574.8516235
1712490114,1087488,563.7630005
1712490282,1089536,525.0784302
1712490475,1091584,525.8770142
1712490665,1093632,511.8197632
1712490857,1095680,508.0932007
1712491047,1097728,532.043457
1712491243,1099776,536.8349609
1712491446,1101824,549.7043457
1712491681,1103872,546.8250732
1712491895,1105920,555.3945923
1712492123,1107968,566.7741699
1712492345,1110016,571.2860718
1712492559,1112064,577.2138672
1712492748,1114112,575.605835
1712492940,1116160,563.7818604
1712493137,1118208,558.2765503
1712493342,1120256,558.7385864
1712493570,1122304,569.6397095
1712493771,1124352,582.5704346
1712493963,1126400,598.7734375
1712494158,1128448,585.7695923
1712494345,1130496,581.6525269
1712494526,1132544,566.5438232
1712494715,1134592,562.5996704
1712494925,1136640,578.0799561
1712495127,1138688,579.859314
1712495309,1140736,571.7866821
